Used,Type,Name,PV,Tag,Desc
,Bool,GV12_Fail_to_Open,BL:$(xx)$(yy):GV12_FAIL_TO_OPEN,GV12.Fault.Fail_to_Open,1123 GV12 Fail to Open
,Bool,GV12_Fully_Open,BL:$(xx)$(yy):GV12_FULLY_OPEN,GV12.Fault.Fully_Open,1124 GV12 Fail To Fully Open
,Bool,GV12_Closed_Switch,BL:$(xx)$(yy):GV12_CLOSED_SWITCH,GV12.Fault.Closed_Switch,1125 GV12 Closed Switch
,Bool,GV12_Fail_to_Close,BL:$(xx)$(yy):GV12_FAIL_TO_CLOSE,GV12.Fault.Fail_to_Close,1126 GV12 Fail to Close
,Bool,GV12_Fully_Close,BL:$(xx)$(yy):GV12_FULLY_CLOSE,GV12.Fault.Fully_Close,1127 GV12 Fail To Fully Close
,Bool,GV12_Beam_Exposure,BL:$(xx)$(yy):GV12_BEAM_EXPOSURE,GV12.Fault.Beam_Exposure,1128 GV12 Beam Exposure
,Bool,GV12_No_Switch,BL:$(xx)$(yy):GV12_NO_SWITCH,GV12.Fault.No_Switch,1129 GV12 No Switch
,Bool,GV13_Faulted,BL:$(xx)$(yy):GV13_FAULTED,GV13.Faulted,GV13_Faulted
,Bool,GV13_Both_Switch,BL:$(xx)$(yy):GV13_BOTH_SWITCH,GV13.Fault.Both_Switch,1131 GV13 Both Switch
,Bool,GV13_Opened_Switch,BL:$(xx)$(yy):GV13_OPENED_SWITCH,GV13.Fault.Opened_Switch,1132 GV13 Opened Switch
,Bool,GV13_Fail_to_Open,BL:$(xx)$(yy):GV13_FAIL_TO_OPEN,GV13.Fault.Fail_to_Open,1133 GV13 Fail to Open
,Bool,GV13_Fully_Open,BL:$(xx)$(yy):GV13_FULLY_OPEN,GV13.Fault.Fully_Open,1134 GV13 Fail To Fully Open
,Bool,GV13_Closed_Switch,BL:$(xx)$(yy):GV13_CLOSED_SWITCH,GV13.Fault.Closed_Switch,1135 GV13 Closed Switch
,Bool,GV13_Fail_to_Close,BL:$(xx)$(yy):GV13_FAIL_TO_CLOSE,GV13.Fault.Fail_to_Close,1136 GV13 Fail to Close
,Bool,GV13_Fully_Close,BL:$(xx)$(yy):GV13_FULLY_CLOSE,GV13.Fault.Fully_Close,1137 GV13 Fail To Fully Close
,Bool,GV13_Beam_Exposure,BL:$(xx)$(yy):GV13_BEAM_EXPOSURE,GV13.Fault.Beam_Exposure,1138 GV13 Beam Exposure
,Bool,GV13_No_Switch,BL:$(xx)$(yy):GV13_NO_SWITCH,GV13.Fault.No_Switch,1139 GV13 No Switch
,Bool,GV14_Faulted,BL:$(xx)$(yy):GV14_FAULTED,GV14.Faulted,GV14_Faulted
,Bool,GV14_Both_Switch,BL:$(xx)$(yy):GV14_BOTH_SWITCH,GV14.Fault.Both_Switch,1141 GV14 Both Switch
,Bool,GV14_Opened_Switch,BL:$(xx)$(yy):GV14_OPENED_SWITCH,GV14.Fault.Opened_Switch,1142 GV14 Opened Switch
,Bool,GV14_Fail_to_Open,BL:$(xx)$(yy):GV14_FAIL_TO_OPEN,GV14.Fault.Fail_to_Open,1143 GV14 Fail to Open
,Bool,GV14_Fully_Open,BL:$(xx)$(yy):GV14_FULLY_OPEN,GV14.Fault.Fully_Open,1144 GV14 Fail To Fully Open
,Bool,GV14_Closed_Switch,BL:$(xx)$(yy):GV14_CLOSED_SWITCH,GV14.Fault.Closed_Switch,1145 GV14 Closed Switch
,Bool,GV14_Fail_to_Close,BL:$(xx)$(yy):GV14_FAIL_TO_CLOSE,GV14.Fault.Fail_to_Close,1146 GV14 Fail to Close
,Bool,GV14_Fully_Close,BL:$(xx)$(yy):GV14_FULLY_CLOSE,GV14.Fault.Fully_Close,1147 GV14 Fail To Fully Close
,Bool,GV14_Beam_Exposure,BL:$(xx)$(yy):GV14_BEAM_EXPOSURE,GV14.Fault.Beam_Exposure,1148 GV14 Beam Exposure
,Bool,GV14_No_Switch,BL:$(xx)$(yy):GV14_NO_SWITCH,GV14.Fault.No_Switch,1149 GV14 No Switch
,Bool,GV15_Faulted,BL:$(xx)$(yy):GV15_FAULTED,GV15.Faulted,GV15_Faulted
,Bool,GV15_Both_Switch,BL:$(xx)$(yy):GV15_BOTH_SWITCH,GV15.Fault.Both_Switch,1151 GV15 Both Switch
,Bool,GV15_Opened_Switch,BL:$(xx)$(yy):GV15_OPENED_SWITCH,GV15.Fault.Opened_Switch,1152 GV15 Opened Switch
,Bool,GV15_Fail_to_Open,BL:$(xx)$(yy):GV15_FAIL_TO_OPEN,GV15.Fault.Fail_to_Open,1153 GV15 Fail to Open
,Bool,GV15_Fully_Open,BL:$(xx)$(yy):GV15_FULLY_OPEN,GV15.Fault.Fully_Open,1154 GV15 Fail To Fully Open
